time,Liking,Dominance,Solidarity,Familiarity
0,0.354481,0.347632,0.645197,0.191339
1,0.414242,0.241496,0.217257,0.211339
2,0.473284,0.137442,0.000000,0.231339
3,0.531607,0.035471,0.000000,0.251339
4,0.591101,0.000000,0.000000,0.271339
5,0.649516,0.000000,0.000000,0.291339
6,0.709241,0.000000,0.000000,0.311339
7,0.770275,0.000000,0.000000,0.331339
8,0.832618,0.000000,0.000000,0.351339
9,0.898478,0.000000,0.000000,0.371339
10,0.965313,0.000000,0.000000,0.391339
11,1.000000,0.000000,0.000000,0.411339
12,1.000000,0.000000,0.000000,0.431340
13,1.000000,0.000000,0.000000,0.451340
14,1.000000,0.000000,0.000000,0.471340
15,1.000000,0.000000,0.000000,0.491340
16,1.000000,0.000000,0.000000,0.511340
17,1.000000,0.000000,0.000000,0.531340
18,1.000000,0.000000,0.000000,0.551340
19,1.000000,0.000000,0.000000,0.571339
20,1.000000,0.000000,0.000000,0.591339
21,1.000000,0.000000,0.000000,0.611339
22,1.000000,0.000000,0.000000,0.631339
23,1.000000,0.000000,0.000000,0.651339
24,1.000000,0.000000,0.000000,0.671339
